Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_70_321,VGND,li1,170.6600,212.1600,0.000008
FILLER_70_309,VGND,li1,165.1400,212.1600,0.000009
FILLER_70_307,VGND,li1,161.6900,212.1600,0.000011
FILLER_70_301,VGND,li1,160.0800,212.1600,0.000011
FILLER_70_289,VGND,li1,155.9400,212.1600,0.000012
FILLER_70_277,VGND,li1,150.4200,212.1600,0.000014
FILLER_70_265,VGND,li1,144.9000,212.1600,0.000014
FILLER_70_253,VGND,li1,139.3800,212.1600,0.000015
FILLER_70_251,VGND,li1,135.9300,212.1600,0.000016
FILLER_70_245,VGND,li1,134.3200,212.1600,0.000016
FILLER_70_233,VGND,li1,130.1800,212.1600,0.000016
FILLER_70_221,VGND,li1,124.6600,212.1600,0.000016
FILLER_70_209,VGND,li1,119.1400,212.1600,0.000016
FILLER_70_197,VGND,li1,113.6200,212.1600,0.000016
FILLER_70_195,VGND,li1,110.1700,212.1600,0.000016
FILLER_70_189,VGND,li1,108.5600,212.1600,0.000016
FILLER_70_177,VGND,li1,104.4200,212.1600,0.000016
FILLER_70_165,VGND,li1,98.9000,212.1600,0.000014
FILLER_70_153,VGND,li1,93.3800,212.1600,0.000014
FILLER_70_141,VGND,li1,87.8600,212.1600,0.000012
FILLER_70_139,VGND,li1,84.4100,212.1600,0.000011
FILLER_70_133,VGND,li1,82.8000,212.1600,0.000011
FILLER_70_121,VGND,li1,78.6600,212.1600,0.000010
FILLER_70_109,VGND,li1,73.1400,212.1600,0.000009
FILLER_70_97,VGND,li1,67.6200,212.1600,0.000008
FILLER_70_85,VGND,li1,62.1000,212.1600,0.000007
FILLER_70_83,VGND,li1,58.6500,212.1600,0.000006
FILLER_70_77,VGND,li1,57.0400,212.1600,0.000006
FILLER_70_65,VGND,li1,52.9000,212.1600,0.000005
FILLER_70_53,VGND,li1,47.3800,212.1600,0.000004
FILLER_70_41,VGND,li1,41.8600,212.1600,0.000003
FILLER_70_29,VGND,li1,36.3400,212.1600,0.000002
FILLER_70_27,VGND,li1,32.8900,212.1600,0.000002
FILLER_70_15,VGND,li1,29.9000,212.1600,0.000002
FILLER_70_3,VGND,li1,24.3800,212.1600,0.000002
FILLER_69_449,VGND,li1,227.7000,212.1600,0.000002
FILLER_69_447,VGND,li1,226.0900,212.1600,0.000002
FILLER_69_441,VGND,li1,224.4800,212.1600,0.000002
FILLER_69_429,VGND,li1,220.3400,212.1600,0.000002
FILLER_69_417,VGND,li1,214.8200,212.1600,0.000002
FILLER_69_405,VGND,li1,209.3000,212.1600,0.000002
FILLER_69_393,VGND,li1,203.7800,212.1600,0.000002
FILLER_69_391,VGND,li1,200.3300,212.1600,0.000002
FILLER_69_385,VGND,li1,198.7200,212.1600,0.000002
FILLER_69_373,VGND,li1,194.5800,212.1600,0.000002
FILLER_69_361,VGND,li1,189.0600,212.1600,0.000004
FILLER_69_349,VGND,li1,183.5400,212.1600,0.000005
FILLER_69_337,VGND,li1,178.0200,212.1600,0.000006
FILLER_69_335,VGND,li1,174.5700,212.1600,0.000008
FILLER_69_329,VGND,li1,172.9600,212.1600,0.000008
FILLER_69_317,VGND,li1,168.8200,212.1600,0.000009
FILLER_69_305,VGND,li1,163.3000,212.1600,0.000010
FILLER_69_293,VGND,li1,157.7800,212.1600,0.000011
FILLER_69_281,VGND,li1,152.2600,212.1600,0.000013
FILLER_69_279,VGND,li1,148.8100,212.1600,0.000014
FILLER_69_259,VGND,li1,140.3000,212.1600,0.000015
FILLER_69_233,VGND,li1,128.1100,212.1600,0.000016
FILLER_69_225,VGND,li1,125.5800,212.1600,0.000016
FILLER_69_223,VGND,li1,123.0500,212.1600,0.000016
FILLER_69_217,VGND,li1,121.4400,212.1600,0.000016
FILLER_69_186,VGND,li1,107.6400,212.1600,0.000016
FILLER_69_169,VGND,li1,98.2100,212.1600,0.000014
FILLER_69_167,VGND,li1,97.2900,212.1600,0.000014
FILLER_69_161,VGND,li1,95.6800,212.1600,0.000014
FILLER_69_149,VGND,li1,91.5400,212.1600,0.000013
FILLER_69_137,VGND,li1,86.0200,212.1600,0.000012
FILLER_69_125,VGND,li1,80.5000,212.1600,0.000011
FILLER_69_113,VGND,li1,74.9800,212.1600,0.000010
FILLER_69_111,VGND,li1,71.5300,212.1600,0.000009
FILLER_69_105,VGND,li1,69.9200,212.1600,0.000009
FILLER_69_93,VGND,li1,65.7800,212.1600,0.000008
FILLER_69_81,VGND,li1,60.2600,212.1600,0.000006
FILLER_69_69,VGND,li1,54.7400,212.1600,0.000005
FILLER_69_57,VGND,li1,49.2200,212.1600,0.000004
FILLER_69_55,VGND,li1,45.7700,212.1600,0.000003
FILLER_69_51,VGND,li1,44.6200,212.1600,0.000003
FILLER_69_39,VGND,li1,40.9400,212.1600,0.000002
FILLER_69_27,VGND,li1,35.4200,212.1600,0.000002
FILLER_69_15,VGND,li1,29.9000,212.1600,0.000002
FILLER_69_3,VGND,li1,24.3800,212.1600,0.000002
FILLER_68_445,VGND,li1,226.7800,206.7200,0.000009
FILLER_68_433,VGND,li1,222.1800,206.7200,0.000009
FILLER_68_421,VGND,li1,216.6600,206.7200,0.000009
FILLER_68_419,VGND,li1,213.2100,206.7200,0.000009
FILLER_68_413,VGND,li1,211.6000,206.7200,0.000009
FILLER_68_401,VGND,li1,207.4600,206.7200,0.000009
FILLER_68_389,VGND,li1,201.9400,206.7200,0.000009
FILLER_68_377,VGND,li1,196.4200,206.7200,0.000009
FILLER_68_365,VGND,li1,190.9000,206.7200,0.000012
FILLER_68_362,VGND,li1,187.2200,206.7200,0.000014
FILLER_68_338,VGND,li1,175.9500,206.7200,0.000024
FILLER_68_332,VGND,li1,174.3400,206.7200,0.000026
FILLER_68_288,VGND,li1,153.6400,206.7200,0.000039
FILLER_68_276,VGND,li1,148.1200,206.7200,0.000042
FILLER_68_265,VGND,li1,142.8300,206.7200,0.000042
FILLER_68_253,VGND,li1,139.3800,206.7200,0.000042
FILLER_68_249,VGND,li1,135.4700,206.7200,0.000041
FILLER_68_240,VGND,li1,130.8700,206.7200,0.000040
FILLER_68_236,VGND,li1,129.7200,206.7200,0.000040
FILLER_68_224,VGND,li1,126.0400,206.7200,0.000039
FILLER_68_207,VGND,li1,115.9200,206.7200,0.000036
FILLER_68_197,VGND,li1,111.3200,206.7200,0.000033
FILLER_68_195,VGND,li1,110.1700,206.7200,0.000033
FILLER_68_191,VGND,li1,109.0200,206.7200,0.000033
FILLER_68_172,VGND,li1,100.2800,206.7200,0.000029
FILLER_68_153,VGND,li1,91.3100,206.7200,0.000025
FILLER_68_141,VGND,li1,87.8600,206.7200,0.000024
FILLER_68_139,VGND,li1,84.4100,206.7200,0.000022
FILLER_68_133,VGND,li1,82.8000,206.7200,0.000022
FILLER_68_121,VGND,li1,78.6600,206.7200,0.000020
FILLER_68_109,VGND,li1,73.1400,206.7200,0.000017
FILLER_68_97,VGND,li1,67.6200,206.7200,0.000016
FILLER_68_85,VGND,li1,62.1000,206.7200,0.000013
FILLER_68_83,VGND,li1,58.6500,206.7200,0.000011
FILLER_68_77,VGND,li1,57.0400,206.7200,0.000011
FILLER_68_65,VGND,li1,52.9000,206.7200,0.000010
FILLER_68_53,VGND,li1,47.3800,206.7200,0.000007
FILLER_68_41,VGND,li1,41.8600,206.7200,0.000005
FILLER_68_29,VGND,li1,36.3400,206.7200,0.000004
FILLER_68_27,VGND,li1,32.8900,206.7200,0.000004
FILLER_68_15,VGND,li1,29.9000,206.7200,0.000004
FILLER_68_3,VGND,li1,24.3800,206.7200,0.000004
FILLER_67_449,VGND,li1,227.7000,206.7200,0.000009
FILLER_67_447,VGND,li1,226.0900,206.7200,0.000009
FILLER_67_441,VGND,li1,224.4800,206.7200,0.000009
FILLER_67_429,VGND,li1,220.3400,206.7200,0.000009
FILLER_67_417,VGND,li1,214.8200,206.7200,0.000009
FILLER_67_405,VGND,li1,209.3000,206.7200,0.000009
FILLER_67_393,VGND,li1,203.7800,206.7200,0.000009
FILLER_67_386,VGND,li1,199.1800,206.7200,0.000009
FILLER_67_374,VGND,li1,195.0400,206.7200,0.000009
FILLER_67_362,VGND,li1,189.5200,206.7200,0.000012
FILLER_67_353,VGND,li1,182.8500,206.7200,0.000018
FILLER_67_337,VGND,li1,177.1000,206.7200,0.000024
FILLER_67_330,VGND,li1,173.4200,206.7200,0.000026
FILLER_67_305,VGND,li1,161.0000,206.7200,0.000035
FILLER_67_297,VGND,li1,158.7000,206.7200,0.000037
FILLER_67_279,VGND,li1,148.8100,206.7200,0.000042
FILLER_67_231,VGND,li1,126.7300,206.7200,0.000039
FILLER_67_225,VGND,li1,125.1200,206.7200,0.000038
FILLER_67_220,VGND,li1,122.3600,206.7200,0.000038
FILLER_67_198,VGND,li1,112.7000,206.7200,0.000034
FILLER_67_186,VGND,li1,108.5600,206.7200,0.000033
FILLER_67_167,VGND,li1,97.2900,206.7200,0.000027
FILLER_67_161,VGND,li1,95.6800,206.7200,0.000027
FILLER_67_149,VGND,li1,91.5400,206.7200,0.000025
FILLER_67_137,VGND,li1,86.0200,206.7200,0.000023
FILLER_67_125,VGND,li1,80.5000,206.7200,0.000021
FILLER_67_113,VGND,li1,74.9800,206.7200,0.000019
FILLER_67_111,VGND,li1,71.5300,206.7200,0.000017
FILLER_67_105,VGND,li1,69.9200,206.7200,0.000017
FILLER_67_93,VGND,li1,65.7800,206.7200,0.000015
FILLER_67_81,VGND,li1,60.2600,206.7200,0.000012
FILLER_67_69,VGND,li1,54.7400,206.7200,0.000010
FILLER_67_57,VGND,li1,49.2200,206.7200,0.000008
FILLER_67_55,VGND,li1,45.7700,206.7200,0.000006
FILLER_67_51,VGND,li1,44.6200,206.7200,0.000006
FILLER_67_39,VGND,li1,40.9400,206.7200,0.000004
FILLER_67_27,VGND,li1,35.4200,206.7200,0.000004
FILLER_67_15,VGND,li1,29.9000,206.7200,0.000004
FILLER_67_3,VGND,li1,24.3800,206.7200,0.000004
FILLER_66_445,VGND,li1,226.7800,201.2800,0.000005
FILLER_66_433,VGND,li1,222.1800,201.2800,0.000005
FILLER_66_421,VGND,li1,216.6600,201.2800,0.000005
FILLER_66_408,VGND,li1,210.6800,201.2800,0.000005
FILLER_66_396,VGND,li1,205.1600,201.2800,0.000005
FILLER_66_384,VGND,li1,199.6400,201.2800,0.000005
FILLER_66_372,VGND,li1,194.1200,201.2800,0.000005
FILLER_66_346,VGND,li1,179.8600,201.2800,0.000012
FILLER_66_338,VGND,li1,177.5600,201.2800,0.000012
FILLER_66_326,VGND,li1,172.9600,201.2800,0.000014
FILLER_66_309,VGND,li1,164.2200,201.2800,0.000018
FILLER_66_307,VGND,li1,161.6900,201.2800,0.000019
FILLER_66_295,VGND,li1,158.7000,201.2800,0.000020
FILLER_66_271,VGND,li1,145.1300,201.2800,0.000026
FILLER_66_265,VGND,li1,143.5200,201.2800,0.000026
FILLER_66_253,VGND,li1,139.3800,201.2800,0.000027
FILLER_66_246,VGND,li1,134.7800,201.2800,0.000029
FILLER_66_232,VGND,li1,128.3400,201.2800,0.000032
FILLER_66_220,VGND,li1,124.2000,201.2800,0.000034
