net,length_um
scratch\[1\]\[26\],13.625µm
_0568_,13.62µm
_0363_,13.6µm
scratch\[2\]\[21\],13.6µm
scratch\[2\]\[31\],13.6µm
scratch\[5\]\[9\],13.54µm
net89,13.54µm
scratch\[2\]\[18\],13.52µm
cycle_count\[3\],13.5µm
scratch\[6\]\[7\],13.5µm
_0607_,13.38µm
_0761_,13.38µm
scratch\[4\]\[31\],13.31µm
_0404_,13.3µm
net56,13.2µm
scratch\[7\]\[5\],13.16µm
scratch\[5\]\[30\],13.085µm
net93,13.06µm
scratch\[5\]\[5\],13.045µm
scratch\[5\]\[15\],12.98µm
scratch\[2\]\[27\],12.88µm
_0624_,12.8µm
_0694_,12.8µm
scratch\[1\]\[2\],12.765µm
scratch\[1\]\[31\],12.76µm
scratch\[7\]\[6\],12.7µm
_0390_,12.62µm
scratch\[4\]\[9\],12.62µm
scratch\[1\]\[16\],12.61µm
scratch\[3\]\[21\],12.58µm
scratch\[6\]\[22\],12.58µm
_0445_,12.54µm
scratch\[7\]\[0\],12.54µm
_0465_,12.52µm
_0712_,12.52µm
net60,12.5µm
_0804_,12.48µm
_0683_,12.46µm
scratch\[3\]\[28\],12.46µm
net277,12.42µm
_0378_,12.38µm
_0670_,12.38µm
_0368_,12.36µm
scratch\[7\]\[25\],12.28µm
_0518_,12.24µm
_0541_,12.2µm
scratch\[1\]\[19\],12.18µm
net94,12.04µm
scratch\[7\]\[17\],12µm
_0027_,11.905µm
_0000_,11.88µm
_0355_,11.88µm
scratch\[4\]\[29\],11.88µm
scratch\[6\]\[23\],11.88µm
_0074_,11.865µm
_0740_,11.84µm
scratch\[7\]\[23\],11.84µm
_0233_,11.765µm
_0102_,11.705µm
_0630_,11.7µm
scratch\[2\]\[8\],11.7µm
scratch\[1\]\[18\],11.68µm
scratch\[4\]\[5\],11.66µm
scratch\[4\]\[18\],11.62µm
scratch\[7\]\[3\],11.58µm
_0591_,11.5µm
_0448_,11.42µm
scratch\[3\]\[29\],11.42µm
scratch\[6\]\[29\],11.42µm
_0599_,11.38µm
scratch\[7\]\[9\],11.38µm
net90,11.36µm
scratch\[5\]\[28\],11.355µm
net88,11.26µm
_0628_,11.24µm
_0467_,11.22µm
_0089_,11.205µm
scratch\[1\]\[27\],11.205µm
_0753_,11.12µm
scratch\[4\]\[7\],11.12µm
scratch\[7\]\[26\],11.08µm
_0040_,11.065µm
net67,11.06µm
_0276_,11.04µm
_0398_,11.04µm
scratch\[5\]\[12\],11.005µm
scratch\[1\]\[14\],10.99µm
scratch\[1\]\[17\],10.97µm
scratch\[6\]\[17\],10.96µm
_0633_,10.9µm
_0438_,10.88µm
_0356_,10.86µm
scratch\[3\]\[8\],10.86µm
_0610_,10.8µm
_0431_,10.74µm
scratch\[4\]\[21\],10.74µm
scratch\[4\]\[26\],10.74µm
scratch\[6\]\[27\],10.74µm
_0594_,10.66µm
scratch\[3\]\[15\],10.6µm
_0468_,10.46µm
scratch\[1\]\[11\],10.38µm
_0559_,10.36µm
_0724_,10.36µm
_0604_,10.34µm
_0023_,10.335µm
_0372_,10.32µm
scratch\[4\]\[30\],10.28µm
scratch\[6\]\[20\],10.28µm
scratch\[7\]\[11\],10.24µm
_0597_,10.22µm
scratch\[5\]\[10\],10.205µm
scratch\[5\]\[31\],10.165µm
scratch\[4\]\[12\],10.16µm
_0536_,10.1µm
scratch\[1\]\[29\],10.08µm
scratch\[1\]\[21\],10.04µm
_0476_,10µm
scratch\[5\]\[2\],10µm
_0540_,9.96µm
_0738_,9.96µm
_0681_,9.94µm
scratch\[1\]\[28\],9.94µm
_0684_,9.9µm
_0674_,9.84µm
_0731_,9.84µm
scratch\[1\]\[0\],9.84µm
scratch\[6\]\[24\],9.82µm
_0784_,9.8µm
_0103_,9.785µm
_0662_,9.78µm
scratch\[6\]\[28\],9.78µm
net440,9.76µm
scratch\[7\]\[14\],9.72µm
scratch\[5\]\[25\],9.705µm
scratch\[3\]\[18\],9.7µm
_0643_,9.66µm
_0232_,9.645µm
_0440_,9.64µm
scratch\[7\]\[27\],9.62µm
scratch\[6\]\[1\],9.58µm
_0426_,9.52µm
_0617_,9.52µm
scratch\[6\]\[19\],9.52µm
scratch\[2\]\[13\],9.5µm
_0702_,9.48µm
scratch\[1\]\[10\],9.47µm
_0679_,9.44µm
_0446_,9.4µm
net290,9.4µm
scratch\[4\]\[11\],9.36µm
scratch\[4\]\[25\],9.36µm
_0763_,9.32µm
scratch\[1\]\[1\],9.285µm
net309,9.28µm
scratch\[5\]\[6\],9.245µm
_0184_,9.225µm
_0105_,9.185µm
_0488_,9.16µm
scratch\[7\]\[21\],9.16µm
scratch\[6\]\[9\],9.12µm
scratch\[7\]\[16\],9.06µm
_0577_,9.04µm
scratch\[6\]\[11\],9.04µm
net373,8.92µm
scratch\[4\]\[28\],8.9µm
scratch\[6\]\[26\],8.9µm
_0204_,8.865µm
_0499_,8.86µm
_0744_,8.86µm
_0589_,8.84µm
scratch\[5\]\[27\],8.825µm
_0437_,8.8µm
_0222_,8.765µm
scratch\[6\]\[15\],8.76µm
_0668_,8.74µm
scratch\[7\]\[19\],8.74µm
scratch\[4\]\[23\],8.7µm
_0397_,8.68µm
scratch\[4\]\[20\],8.66µm
_0504_,8.62µm
net86,8.62µm
scratch\[1\]\[9\],8.58µm
scratch\[6\]\[4\],8.58µm
_0203_,8.575µm
_0414_,8.56µm
_0585_,8.56µm
_0656_,8.56µm
_0217_,8.525µm
_0455_,8.52µm
_0690_,8.52µm
_0782_,8.48µm
scratch\[4\]\[2\],8.48µm
scratch\[4\]\[17\],8.44µm
net65,8.44µm
_0671_,8.42µm
scratch\[5\]\[18\],8.42µm
scratch\[6\]\[13\],8.4µm
net63,8.4µm
cycle_count\[1\],8.34µm
_0572_,8.3µm
_0510_,8.28µm
_0573_,8.24µm
scratch\[1\]\[20\],8.24µm
_0453_,8.2µm
_0461_,8.2µm
_0632_,8.2µm
scratch\[4\]\[4\],8.18µm
_0484_,8.16µm
_0780_,8.16µm
_0790_,8.1µm
scratch\[5\]\[16\],8.075µm
_0214_,8.065µm
_0264_,8.065µm
_0655_,8.06µm
scratch\[5\]\[1\],8.04µm
scratch\[6\]\[12\],8.04µm
_0402_,8.02µm
scratch\[4\]\[14\],8.02µm
net369,8.02µm
_0646_,7.98µm
_0682_,7.98µm
scratch\[4\]\[19\],7.98µm
scratch\[5\]\[22\],7.965µm
scratch\[5\]\[19\],7.955µm
_0639_,7.94µm
_0715_,7.94µm
_0377_,7.9µm
_0206_,7.845µm
_0612_,7.8µm
_0528_,7.78µm
_0556_,7.78µm
net286,7.78µm
scratch\[5\]\[13\],7.735µm
_0025_,7.695µm
_0375_,7.68µm
_0422_,7.68µm
_0669_,7.68µm
scratch\[7\]\[28\],7.68µm
_0452_,7.66µm
_0551_,7.64µm
_0727_,7.64µm
_0764_,7.64µm
net323,7.64µm
net334,7.64µm
net424,7.64µm
_0409_,7.62µm
_0637_,7.58µm
_0340_,7.56µm
net351,7.56µm
net355,7.56µm
_0369_,7.52µm
_0565_,7.52µm
_0793_,7.52µm
net358,7.52µm
_0365_,7.5µm
_0747_,7.5µm
_0439_,7.48µm
_0494_,7.48µm
_0648_,7.48µm
_0811_,7.48µm
_0469_,7.46µm
_0520_,7.42µm
scratch\[6\]\[21\],7.42µm
_0511_,7.4µm
scratch\[6\]\[18\],7.4µm
_0236_,7.385µm
_0024_,7.345µm
_0538_,7.32µm
scratch\[7\]\[22\],7.32µm
scratch\[5\]\[17\],7.3µm
_0188_,7.265µm
_0280_,7.22µm
_0713_,7.22µm
_0733_,7.22µm
_0798_,7.22µm
net426,7.22µm
net429,7.22µm
_0600_,7.2µm
net324,7.2µm
_0291_,7.18µm
_0652_,7.18µm
_0794_,7.18µm
_0314_,7.16µm
scratch\[7\]\[12\],7.16µm
_0759_,7.1µm
_0406_,7.08µm
_0396_,7.06µm
_0705_,7.06µm
_0792_,7.06µm
scratch\[4\]\[13\],7.06µm
scratch\[6\]\[8\],7.06µm
net394,7µm
_0424_,6.98µm
_0486_,6.96µm
_0506_,6.96µm
scratch\[4\]\[24\],6.955µm
scratch\[5\]\[8\],6.92µm
_0387_,6.86µm
scratch\[1\]\[6\],6.86µm
_0418_,6.84µm
_0260_,6.825µm
scratch\[5\]\[7\],6.825µm
_0532_,6.82µm
scratch\[5\]\[0\],6.82µm
scratch\[6\]\[25\],6.82µm
_0739_,6.76µm
scratch\[7\]\[18\],6.76µm
scratch\[7\]\[7\],6.76µm
_0367_,6.74µm
_0327_,6.72µm
_0803_,6.72µm
_0013_,6.705µm
_0018_,6.705µm
net279,6.7µm
scratch\[1\]\[22\],6.66µm
_0173_,6.645µm
_0383_,6.64µm
_0620_,6.64µm
_0631_,6.64µm
scratch\[1\]\[15\],6.64µm
_0416_,6.62µm
_0621_,6.62µm
_0385_,6.6µm
_0523_,6.6µm
_0543_,6.6µm
scratch\[4\]\[16\],6.6µm
_0386_,6.58µm
_0410_,6.58µm
scratch\[5\]\[29\],6.575µm
_0003_,6.54µm
_0169_,6.54µm
net370,6.54µm
scratch\[5\]\[23\],6.495µm
_0146_,6.485µm
net390,6.48µm
_0172_,6.465µm
_0273_,6.46µm
_0246_,6.425µm
scratch\[5\]\[26\],6.405µm
_0678_,6.4µm
scratch\[1\]\[8\],6.4µm
scratch\[4\]\[22\],6.4µm
scratch\[4\]\[8\],6.4µm
_0558_,6.38µm
_0028_,6.365µm
_0035_,6.365µm
net62,6.36µm
_0460_,6.32µm
_0496_,6.32µm
net304,6.32µm
_0313_,6.3µm
_0357_,6.3µm
_0450_,6.3µm
_0580_,6.3µm
_0687_,6.3µm
net338,6.3µm
net374,6.3µm
_0475_,6.26µm
_0757_,6.26µm
net342,6.26µm
_0240_,6.225µm
_0745_,6.2µm
net343,6.2µm
_0487_,6.18µm
net287,6.18µm
net295,6.18µm
net350,6.18µm
_0083_,6.165µm
_0730_,6.14µm
scratch\[4\]\[3\],6.14µm
net348,6.14µm
_0525_,6.1µm
net383,6.08µm
net386,6.08µm
_0079_,6.065µm
scratch\[7\]\[29\],6.06µm
_0201_,6.04µm
_0081_,6.025µm
_0249_,6.025µm
_0213_,6.015µm
_0001_,5.985µm
_0480_,5.96µm
_0700_,5.96µm
_0415_,5.94µm
scratch\[7\]\[30\],5.94µm
_0636_,5.92µm
scratch\[4\]\[27\],5.92µm
_0489_,5.9µm
_0091_,5.895µm
_0786_,5.855µm
_0060_,5.845µm
_0754_,5.84µm
net64,5.84µm
net412,5.84µm
net413,5.84µm
net442,5.82µm
_0271_,5.8µm
_0283_,5.8µm
_0286_,5.8µm
_0482_,5.8µm
_0711_,5.8µm
_0463_,5.74µm
scratch\[1\]\[12\],5.725µm
_0304_,5.72µm
_0491_,5.72µm
_0691_,5.72µm
_0796_,5.72µm
_0797_,5.72µm
scratch\[7\]\[20\],5.72µm
net298,5.72µm
_0107_,5.715µm
_0473_,5.7µm
scratch\[6\]\[6\],5.7µm
scratch\[7\]\[31\],5.7µm
_0364_,5.68µm
_0614_,5.68µm
_0676_,5.68µm
_0716_,5.68µm
_0805_,5.68µm
net318,5.68µm
net357,5.68µm
_0168_,5.665µm
scratch\[1\]\[4\],5.66µm
_0154_,5.645µm
_0325_,5.62µm
_0342_,5.62µm
_0472_,5.62µm
net379,5.62µm
_0186_,5.595µm
_0281_,5.58µm
_0321_,5.58µm
_0171_,5.505µm
_0263_,5.505µm
_0432_,5.5µm
_0699_,5.5µm
scratch\[1\]\[7\],5.48µm
scratch\[7\]\[15\],5.48µm
_0316_,5.46µm
_0331_,5.46µm
